,(I),(II),(III),(IV),(V),(VI)
,Installer's,Installer's,Installer's,Installer's,Installer's,Installer's
,Activity Level,Activity Level,Activity Level,Activity Level,Activity Level,Activity Level
Rating_Entropy_Self,,1.418,,0.956,,1.529
,,(0.059),,(0.085),,(0.094)
Rating_Entropy_Self # Rating_Entropy_Self,,-2.723***,,-1.021,,-1.872
,,(0.001),,(0.265),,(0.226)
Rating_Entropy_Others,0.916*,0.884*,0.707*,0.691*,0.628,0.648
,(0.013),(0.016),(0.011),(0.013),(0.212),(0.194)
Rating_Entropy_Others # Rating_Entropy_Others,-1.691,-2.046*,-2.691***,-2.653***,-2.785**,-2.831**
,(0.077),(0.037),(0.000),(0.000),(0.007),(0.005)
Average_Rating_Self,-0.396,-0.513,-0.292**,-0.211,-0.323,-0.172
,(0.182),(0.285),(0.006),(0.067),(0.116),(0.458)
Average_Rating_Others,-0.381*,-0.367*,-0.125,-0.128,-0.00244,0.0488
,(0.026),(0.036),(0.384),(0.376),(0.994),(0.870)
Review_Count,0.0570***,0.0555***,0.0390***,0.0359***,0.0406***,0.0367***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Experience,-0.0552,-0.0432,0.175**,0.168**,0.297***,0.295***
,(0.387),(0.499),(0.004),(0.006),(0.000),(0.000)
Price_Difference,0.0480,0.0975,0.0919,0.0799,0.249,0.235
,(0.779),(0.567),(0.454),(0.516),(0.158),(0.185)
Market_LogRevenue,0.00677,0.00828,-0.0154*,-0.0147*,-0.0333***,-0.0319***
,(0.278),(0.185),(0.016),(0.021),(0.000),(0.001)
Constant,3.154***,3.458***,2.793***,2.713***,2.972***,2.790***
,(0.000),(0.000),(0.000),(0.000),(0.000),(0.000)
Fixed Effect,Yes,Yes,Yes,Yes,Yes,Yes
State Dummies,Yes,Yes,Yes,Yes,Yes,Yes
Observations,1647,1647,2328,2328,1129,1129
r2,0.723,0.725,0.654,0.654,0.705,0.707
aic,4506.7,4498.5,6660.8,6658.6,3111.5,3108.7
bic,4560.8,4563.4,6724.0,6733.4,3166.8,3174.1
